Country name,Region,Score 2016,Score 2017,Score 2018,Score 2019,Score 2020,Healthy life expectancy 2016,Healthy life expectancy 2017,Healthy life expectancy 2018,Healthy life expectancy 2019,Healthy life expectancy 2020,Freedom to make life choices 2016,Freedom to make life choices 2017,Freedom to make life choices 2018,Freedom to make life choices 2019,Freedom to make life choices 2020,Generosity 2016,Generosity 2017,Generosity 2018,Generosity 2019,Generosity 2020,Perceptions of corruption 2016,Perceptions of corruption 2017,Perceptions of corruption 2018,Perceptions of corruption 2019,Perceptions of corruption 2020,name,Longitude,Latitude
Honduras,Latin America and Caribbean,4.871,5.1810002326965305,5.504,5.86,5.953199862999999,0.5838300000000001,0.582569479942322,0.622,0.828,0.791989982,0.26755,0.348079860210419,0.45899999999999996,0.507,0.568148077,0.2044,0.23618887364864302,0.19699999999999998,0.24600000000000002,0.086969115,0.06906,0.0733454525470734,0.07400000000000001,0.078,0.801131904,Honduras,-86.6151661,14.82688165
Latvia,Central and Eastern Europe,5.56,5.849999904632571,5.933,5.94,5.9499998089999995,0.63952,0.638566970825195,0.6709999999999999,0.812,0.7779024240000001,0.27996,0.32570791244506797,0.363,0.264,0.329198807,0.17445,0.153074786067009,0.092,0.075,-0.186888844,0.0889,0.0738427266478539,0.066,0.064,0.7955800890000001,Latvia,24.91235983,56.85085163
Ecuador,Latin America and Caribbean,5.976,6.00799989700317,5.973,6.028,5.925199986,0.68613,0.685636222362518,0.736,0.868,0.838837743,0.4027,0.4551981985569,0.556,0.498,0.555234551,0.10074,0.15011246502399403,0.114,0.126,-0.127014965,0.18037,0.140134647488594,0.12,0.087,0.8012151120000001,Ecuador,-78.75201922,-1.42381612
Portugal,Western Europe,5.122999999999999,5.19500017166138,5.41,5.693,5.9109001160000005,0.7936300000000001,0.795843541622162,0.884,0.9990000000000001,0.979315281,0.44727,0.498465299606323,0.562,0.508,0.5898951889999999,0.11690999999999999,0.0951027125120163,0.055,0.047,-0.220714301,0.01521,0.0158694516867399,0.017,0.025,0.8926295040000001,Portugal,-8.50104361,39.59550671
Jamaica,Latin America and Caribbean,5.51,5.31099987030029,5.89,5.89,5.889800072000001,0.5946899999999999,0.6410223841667181,0.693,0.831,0.7884340879999999,0.43596999999999997,0.474307239055634,0.575,0.49,0.553124607,0.22245,0.23381833732128102,0.096,0.107,-0.12510676699999998,0.04294,0.0552677810192108,0.031,0.027999999999999997,0.8888900279999999,Jamaica,-77.31482593,18.15694878
Japan,Eastern Asia,5.921,5.92000007629395,5.915,5.886,5.870800018,0.91491,0.9134758710861209,0.988,1.088,1.072881341,0.46761,0.505625545978546,0.5529999999999999,0.445,0.495465875,0.10224,0.12057276815175999,0.079,0.069,-0.24691034899999997,0.18985,0.163760736584663,0.15,0.14,0.654558063,Japan,138.0308956,37.59230135
Peru,Latin America and Caribbean,5.742999999999999,5.71500015258789,5.662999999999999,5.697,5.796800137000001,0.6299399999999999,0.6301661133766171,0.674,0.8540000000000001,0.824444175,0.37501999999999996,0.45000287890434293,0.53,0.455,0.513210058,0.14527,0.126819714903831,0.092,0.083,-0.16238822,0.05292,0.0470490865409374,0.034,0.027000000000000003,0.8937149640000001,Peru,-74.38242685,-9.15280381
Serbia,Central and Eastern Europe,5.1770000000000005,5.39499998092651,5.398,5.603,5.77820015,0.6458,0.65078467130661,0.685,0.8540000000000001,0.828403294,0.15718,0.20871552824974102,0.28800000000000003,0.282,0.395428419,0.20736999999999997,0.22012588381767298,0.134,0.13699999999999998,-0.073676221,0.04339,0.0409037806093693,0.043,0.039,0.843509018,Serbia,20.78958334,44.2215032
Bolivia,Latin America and Caribbean,5.822,5.82299995422363,5.752000000000001,5.779,5.747499942999999,0.4697,0.47363024950027505,0.508,0.706,0.6624456639999999,0.50961,0.5587329268455511,0.606,0.511,0.5744645,0.21698,0.22556072473526,0.141,0.13699999999999998,-0.09168113,0.07746,0.0604777261614799,0.054000000000000006,0.064,0.8226062059999999,Bolivia,-64.68538645,-16.70814787
Pakistan,Southern Asia,5.132000000000001,5.26900005340576,5.472,5.653,5.69329977,0.40306,0.40204778313636796,0.424,0.535,0.46993324200000003,0.14622000000000002,0.23521526157856,0.33399999999999996,0.313,0.405421734,0.31185,0.31544601917266807,0.21600000000000003,0.22,0.04489987,0.1388,0.12434806674718901,0.113,0.098,0.7457054259999999,Pakistan,69.33957937,29.9497515
Paraguay,Latin America and Caribbean,5.537999999999999,5.493000030517581,5.681,5.742999999999999,5.6921000479999995,0.58295,0.579250693321228,0.615,0.777,0.7358696459999999,0.46235,0.473507791757584,0.541,0.514,0.586510062,0.25296,0.224150657653809,0.162,0.184,0.007997713,0.07396,0.091065913438797,0.07400000000000001,0.08,0.8347885009999999,Paraguay,-58.40013703,-23.22823913
Moldova,Central and Eastern Europe,5.897,5.837999820709231,5.64,5.529,5.607500076,0.5230899999999999,0.5894652009010309,0.62,0.7390000000000001,0.713299453,0.25201999999999997,0.24072904884815197,0.23199999999999998,0.245,0.38957148799999997,0.19997,0.20877912640571603,0.171,0.18100000000000002,-0.037741039,0.019030000000000002,0.0100912861526012,0.0,0.0,0.913314283,Moldova,28.45673372,47.19498804
Tajikistan,Central and Eastern Europe,4.996,5.04099988937378,5.199,5.4670000000000005,5.555699825,0.5311899999999999,0.5292351245880129,0.598,0.718,0.680594802,0.43408,0.47156670689582797,0.292,0.389,0.521141171,0.25998000000000004,0.24899764358997303,0.187,0.23,-0.025088511,0.13509000000000002,0.14637714624404902,0.034,0.14400000000000002,0.5920760629999999,Tajikistan,71.01362631,38.5304539
Montenegro,Central and Eastern Europe,5.1610000000000005,5.23699998855591,5.347,5.523,5.54610014,0.6353300000000001,0.6674646735191351,0.7290000000000001,0.871,0.839028895,0.15111,0.194989055395126,0.259,0.19699999999999998,0.303223848,0.17190999999999998,0.197911024093628,0.111,0.142,-0.075600356,0.12721,0.0881741940975189,0.081,0.08,0.7831215859999999,Montenegro,19.23883939,42.78890259
Russia,Central and Eastern Europe,5.856,5.962999820709231,5.81,5.648,5.546000004,0.58991,0.547349333763123,0.599,0.726,0.68044591,0.32682,0.373783111572266,0.39899999999999997,0.33399999999999996,0.399499595,0.027360000000000002,0.0522638224065304,0.065,0.08199999999999999,-0.151153743,0.03586,0.0329628810286522,0.025,0.031,0.864802599,Russia,96.68656112,61.98052209
